target,h,model,benchmark,n,rmspe,benchmark_rmspe,relative_rmspe
CPIAUCSL,1,kNN-DI,ARD(6),516,0.002632748068798273,0.002916113484922855,0.902827713122393
CPIAUCSL,1,AdaBoost-DI,ARD(6),516,0.002640893366418115,0.002916113484922855,0.905620916357437
CPIAUCSL,1,Random Forest,ARD(6),516,0.0026602965201911744,0.002916113484922855,0.9122746881922367
CPIAUCSL,1,XGBoost-DI,ARD(6),516,0.0026639631567841804,0.002916113484922855,0.9135320592143055
CPIAUCSL,1,AdaBoost,ARD(6),516,0.002675427977738034,0.002916113484922855,0.9174636006351486
CPIAUCSL,1,ARD(6),ARD(6),516,0.002916113484922855,0.002916113484922855,1.0
CPIAUCSL,1,SVR linear-DI,ARD(6),516,0.0036995135186545223,0.002916113484922855,1.268645249158536
CPIAUCSL,3,kNN-DI,ARD(6),516,0.006043594280883531,0.0073979416260573985,0.8169291657555775
CPIAUCSL,3,AdaBoost-DI,ARD(6),516,0.006305275871099141,0.0073979416260573985,0.8523013818993088
CPIAUCSL,3,XGBoost-DI,ARD(6),516,0.006346742059030209,0.0073979416260573985,0.857906479915359
CPIAUCSL,3,Random Forest,ARD(6),516,0.0065089053305129934,0.0073979416260573985,0.8798265327732518
CPIAUCSL,3,AdaBoost,ARD(6),516,0.006832008273252506,0.0073979416260573985,0.9235012411004253
CPIAUCSL,3,ARD(6),ARD(6),516,0.0073979416260573985,0.0073979416260573985,1.0
CPIAUCSL,3,SVR linear-DI,ARD(6),516,0.009614243379384102,0.0073979416260573985,1.2995835686943427
CPIAUCSL,6,kNN-DI,ARD(6),516,0.009990294167526077,0.012998995904468751,0.7685435275882845
CPIAUCSL,6,XGBoost-DI,ARD(6),516,0.010389679221594807,0.012998995904468751,0.799267827911468
CPIAUCSL,6,AdaBoost-DI,ARD(6),516,0.010507920446068067,0.012998995904468751,0.8083640092890321
CPIAUCSL,6,Random Forest,ARD(6),516,0.010781095641946575,0.012998995904468751,0.8293791090618227
CPIAUCSL,6,AdaBoost,ARD(6),516,0.011037727297404222,0.012998995904468751,0.8491215305029606
CPIAUCSL,6,ARD(6),ARD(6),516,0.012998995904468751,0.012998995904468751,1.0
CPIAUCSL,6,SVR linear-DI,ARD(6),516,0.01605623046437885,0.012998995904468751,1.2351900548610137
CPIAUCSL,12,kNN-DI,ARD(6),515,0.01771320577219163,0.02401055232041903,0.737725877181425
CPIAUCSL,12,AdaBoost-DI,ARD(6),515,0.017835228212658656,0.02401055232041903,0.742807911065471
CPIAUCSL,12,XGBoost-DI,ARD(6),515,0.018419985216584184,0.02401055232041903,0.7671620781884089
CPIAUCSL,12,Random Forest,ARD(6),515,0.020252902417308316,0.02401055232041903,0.8435000639316765
CPIAUCSL,12,AdaBoost,ARD(6),515,0.02082563505481804,0.02401055232041903,0.8673534359768778
CPIAUCSL,12,ARD(6),ARD(6),515,0.02401055232041903,0.02401055232041903,1.0
CPIAUCSL,12,SVR linear-DI,ARD(6),515,0.03168460504627359,0.02401055232041903,1.3196116700459406
INDPRO,1,XGBoost-DI,ARD(6),516,0.009423045390111132,0.010026156197191471,0.9398462586041416
INDPRO,1,Random Forest,ARD(6),516,0.00955788557733468,0.010026156197191471,0.9532951002710328
INDPRO,1,AdaBoost-DI,ARD(6),516,0.009603505328484105,0.010026156197191471,0.9578451741230842
INDPRO,1,AdaBoost,ARD(6),516,0.009734619567365895,0.010026156197191471,0.9709223929797502
INDPRO,1,ARD(6),ARD(6),516,0.010026156197191471,0.010026156197191471,1.0
INDPRO,1,kNN-DI,ARD(6),516,0.0102207328264048,0.010026156197191471,1.0194069018461764
INDPRO,1,SVR linear-DI,ARD(6),516,0.01443975424157824,0.010026156197191471,1.4402083867018853
INDPRO,3,XGBoost-DI,ARD(6),516,0.01874312516003869,0.020440724622067575,0.9169501329617162
