target,h,model,benchmark,n,rmspe,benchmark_rmspe,relative_rmspe
CPIAUCSL,1,Random Forest,ARD(6),43,0.005005617573121982,0.005124426526722608,0.9768151708330548
CPIAUCSL,1,AdaBoost,ARD(6),43,0.005094890757548611,0.005124426526722608,0.99423627814352
CPIAUCSL,1,ARD(6),ARD(6),43,0.005124426526722608,0.005124426526722608,1.0
CPIAUCSL,1,XGBoost-DI,ARD(6),43,0.005167599770073156,0.005124426526722608,1.0084249902160582
CPIAUCSL,1,AdaBoost-DI,ARD(6),43,0.005183522420816209,0.005124426526722608,1.0115321965853994
CPIAUCSL,1,kNN-DI,ARD(6),43,0.005307293822478431,0.005124426526722608,1.0356854166612042
CPIAUCSL,1,SVR linear-DI,ARD(6),43,0.005865134345250574,0.005124426526722608,1.1445445289663847
CPIAUCSL,3,kNN-DI,ARD(6),41,0.011975588337414958,0.013138127377037203,0.9115140989077234
CPIAUCSL,3,AdaBoost,ARD(6),41,0.012379234279201085,0.013138127377037203,0.942237346612843
CPIAUCSL,3,Random Forest,ARD(6),41,0.012538728584104673,0.013138127377037203,0.9543771516494689
CPIAUCSL,3,AdaBoost-DI,ARD(6),41,0.012630002945639736,0.013138127377037203,0.9613244401720776
CPIAUCSL,3,XGBoost-DI,ARD(6),41,0.012953844831956291,0.013138127377037203,0.9859734542227836
CPIAUCSL,3,ARD(6),ARD(6),41,0.013138127377037203,0.013138127377037203,1.0
CPIAUCSL,3,SVR linear-DI,ARD(6),41,0.015485219565285355,0.013138127377037203,1.1786473917394342
CPIAUCSL,6,AdaBoost,ARD(6),38,0.01869085912530603,0.020715093414685026,0.9022821549072036
CPIAUCSL,6,kNN-DI,ARD(6),38,0.018727617515630467,0.020715093414685026,0.9040566286973329
CPIAUCSL,6,Random Forest,ARD(6),38,0.01878303987974745,0.020715093414685026,0.9067320867803601
CPIAUCSL,6,AdaBoost-DI,ARD(6),38,0.019106609704998945,0.020715093414685026,0.9223520899719516
CPIAUCSL,6,XGBoost-DI,ARD(6),38,0.019419815058733934,0.020715093414685026,0.9374717588754458
CPIAUCSL,6,ARD(6),ARD(6),38,0.020715093414685026,0.020715093414685026,1.0
CPIAUCSL,6,SVR linear-DI,ARD(6),38,0.026065984090858436,0.020715093414685026,1.258308788140928
CPIAUCSL,12,AdaBoost,ARD(6),36,0.019585069276284933,0.026504076653236258,0.7389455415679804
CPIAUCSL,12,Random Forest,ARD(6),36,0.021074569982045932,0.026504076653236258,0.7951444699535548
CPIAUCSL,12,AdaBoost-DI,ARD(6),36,0.021788421971232572,0.026504076653236258,0.8220781374993539
CPIAUCSL,12,XGBoost-DI,ARD(6),36,0.022649815579381956,0.026504076653236258,0.8545785569412138
CPIAUCSL,12,kNN-DI,ARD(6),36,0.023227888744380448,0.026504076653236258,0.8763892833649886
CPIAUCSL,12,ARD(6),ARD(6),36,0.026504076653236258,0.026504076653236258,1.0
CPIAUCSL,12,SVR linear-DI,ARD(6),36,0.037503592674283576,0.026504076653236258,1.4150122324561052
INDPRO,1,ARD(6),ARD(6),43,0.02322712330053149,0.02322712330053149,1.0
INDPRO,1,XGBoost-DI,ARD(6),43,0.023685238803637522,0.02322712330053149,1.0197232992298941
INDPRO,1,AdaBoost-DI,ARD(6),43,0.024032560076168642,0.02322712330053149,1.0346765617599627
INDPRO,1,Random Forest,ARD(6),43,0.024513597060015137,0.02322712330053149,1.0553867021257086
INDPRO,1,AdaBoost,ARD(6),43,0.025493445592722687,0.02322712330053149,1.0975722332407534
INDPRO,1,SVR linear-DI,ARD(6),43,0.026338139008499052,0.02322712330053149,1.133938915625267
INDPRO,1,kNN-DI,ARD(6),43,0.02684619723655215,0.02322712330053149,1.1558124047129783
INDPRO,3,ARD(6),ARD(6),41,0.03680364577260892,0.03680364577260892,1.0
INDPRO,3,XGBoost-DI,ARD(6),41,0.04055975683101266,0.03680364577260892,1.102058124393731
INDPRO,3,Random Forest,ARD(6),41,0.04119066388042218,0.03680364577260892,1.1192006393855225
INDPRO,3,AdaBoost-DI,ARD(6),41,0.04187908830022997,0.03680364577260892,1.1379059715708504
INDPRO,3,AdaBoost,ARD(6),41,0.042864746157103985,0.03680364577260892,1.1646874992206897
INDPRO,3,kNN-DI,ARD(6),41,0.04680969370164713,0.03680364577260892,1.271876541548642
INDPRO,3,SVR linear-DI,ARD(6),41,0.0474342929278419,0.03680364577260892,1.2888476652806184
INDPRO,6,ARD(6),ARD(6),38,0.059121578606737044,0.059121578606737044,1.0
INDPRO,6,SVR linear-DI,ARD(6),38,0.06429055559173133,0.059121578606737044,1.0874296171855815
INDPRO,6,XGBoost-DI,ARD(6),38,0.0653674752906912,0.059121578606737044,1.1056449579179948
INDPRO,6,Random Forest,ARD(6),38,0.0659712190177403,0.059121578606737044,1.1158568592453437
INDPRO,6,AdaBoost-DI,ARD(6),38,0.06939377893583132,0.059121578606737044,1.1737470576931404
INDPRO,6,AdaBoost,ARD(6),38,0.06968538176362936,0.059121578606737044,1.178679314826153
INDPRO,6,kNN-DI,ARD(6),38,0.07770535037841005,0.059121578606737044,1.3143314540920485
INDPRO,12,SVR linear-DI,ARD(6),36,0.07433295560391436,0.09814086464971424,0.7574108488775251
INDPRO,12,Random Forest,ARD(6),36,0.09335655177740299,0.09814086464971424,0.9512505530760557
INDPRO,12,XGBoost-DI,ARD(6),36,0.09673144326791511,0.09814086464971424,0.9856387918852187
INDPRO,12,AdaBoost,ARD(6),36,0.0977857107328008,0.09814086464971424,0.9963811821081763
INDPRO,12,ARD(6),ARD(6),36,0.09814086464971424,0.09814086464971424,1.0
INDPRO,12,AdaBoost-DI,ARD(6),36,0.10540840894099202,0.09814086464971424,1.0740521730394081
INDPRO,12,kNN-DI,ARD(6),36,0.11649790019388022,0.09814086464971424,1.1870478277289096
PAYEMS,1,SVR linear-DI,ARD(6),43,0.021664008071286368,0.022181908886670886,0.9766521078942973
PAYEMS,1,ARD(6),ARD(6),43,0.022181908886670886,0.022181908886670886,1.0
PAYEMS,1,AdaBoost-DI,ARD(6),43,0.022281298556894126,0.022181908886670886,1.0044806635322068
PAYEMS,1,XGBoost-DI,ARD(6),43,0.022304414227762866,0.022181908886670886,1.0055227591871316
PAYEMS,1,Random Forest,ARD(6),43,0.022391615987088588,0.022181908886670886,1.0094539699666567
PAYEMS,1,AdaBoost,ARD(6),43,0.022398376945004517,0.022181908886670886,1.0097587660033942
PAYEMS,1,kNN-DI,ARD(6),43,0.02297970937869665,0.022181908886670886,1.0359662685525304
PAYEMS,3,ARD(6),ARD(6),41,0.025130005692226225,0.025130005692226225,1.0
PAYEMS,3,XGBoost-DI,ARD(6),41,0.02547116128310055,0.025130005692226225,1.0135756272820844
PAYEMS,3,AdaBoost-DI,ARD(6),41,0.025508769876466098,0.025130005692226225,1.0150721885573246
PAYEMS,3,SVR linear-DI,ARD(6),41,0.025548886100708986,0.025130005692226225,1.016668536156056
PAYEMS,3,Random Forest,ARD(6),41,0.02577548550304932,0.025130005692226225,1.0256856213535508
PAYEMS,3,AdaBoost,ARD(6),41,0.02612753767958132,0.025130005692226225,1.0396948571986864
PAYEMS,3,kNN-DI,ARD(6),41,0.027581152789969057,0.025130005692226225,1.0975386606657664
PAYEMS,6,ARD(6),ARD(6),38,0.028778978335945393,0.028778978335945393,1.0
PAYEMS,6,SVR linear-DI,ARD(6),38,0.02885610093893008,0.028778978335945393,1.002679824213508
PAYEMS,6,XGBoost-DI,ARD(6),38,0.02978008025124348,0.028778978335945393,1.0347858740366642
PAYEMS,6,Random Forest,ARD(6),38,0.02994256723889557,0.028778978335945393,1.0404319044744141
PAYEMS,6,AdaBoost-DI,ARD(6),38,0.03021010775932385,0.028778978335945393,1.0497282914866701
PAYEMS,6,AdaBoost,ARD(6),38,0.03155023684472117,0.028778978335945393,1.0962945409814786
PAYEMS,6,kNN-DI,ARD(6),38,0.034393494260451254,0.028778978335945393,1.1950908701124128
PAYEMS,12,Random Forest,ARD(6),36,0.0353964212759994,0.038958948499432336,0.9085568948688427
PAYEMS,12,XGBoost-DI,ARD(6),36,0.03680830615270068,0.038958948499432336,0.9447972178519398
PAYEMS,12,AdaBoost,ARD(6),36,0.03861894144095737,0.038958948499432336,0.9912726839000822
PAYEMS,12,ARD(6),ARD(6),36,0.038958948499432336,0.038958948499432336,1.0
PAYEMS,12,AdaBoost-DI,ARD(6),36,0.0392697995266215,0.038958948499432336,1.0079789378092094
PAYEMS,12,SVR linear-DI,ARD(6),36,0.04356545053745316,0.038958948499432336,1.1182398964922768
PAYEMS,12,kNN-DI,ARD(6),36,0.044992923326636854,0.038958948499432336,1.1548803306971296
S&P 500,1,Random Walk,Random Walk,43,0.07211052994878803,0.07211052994878803,1.0
S&P 500,1,AdaBoost-DI,Random Walk,43,0.07224510766780333,0.07211052994878803,1.0018662700039909
S&P 500,1,XGBoost-DI,Random Walk,43,0.07461977898728167,0.07211052994878803,1.0347972624840738
S&P 500,1,kNN-DI,Random Walk,43,0.07500000044023421,0.07211052994878803,1.0400700215835086
S&P 500,1,AdaBoost,Random Walk,43,0.07511590898682997,0.07211052994878803,1.0416773949682012
S&P 500,1,Random Forest,Random Walk,43,0.07714147754543427,0.07211052994878803,1.0697671699295395
S&P 500,1,SVR linear-DI,Random Walk,43,0.1372078954354396,0.07211052994878803,1.902744239057498
S&P 500,3,Random Walk,Random Walk,41,0.1391583171061636,0.1391583171061636,1.0
S&P 500,3,Random Forest,Random Walk,41,0.14679959207221985,0.1391583171061636,1.0549106594917121
S&P 500,3,AdaBoost,Random Walk,41,0.15060745036090162,0.1391583171061636,1.0822741571817334
S&P 500,3,AdaBoost-DI,Random Walk,41,0.152455801591304,0.1391583171061636,1.095556519808987
S&P 500,3,XGBoost-DI,Random Walk,41,0.15721278703160366,0.1391583171061636,1.1297405020475084
S&P 500,3,kNN-DI,Random Walk,41,0.1634600258409139,0.1391583171061636,1.1746335342371996
