target,h,model,n,rmspe,baseline_rmspe,relative_rmspe
CPIAUCSL,1,AdaBoost - DI,516,0.002640893366418115,0.002916113484922855,0.905620916357437
CPIAUCSL,1,XGBoost - DI,516,0.0026639631567841804,0.002916113484922855,0.9135320592143055
CPIAUCSL,1,Random Forest - DI,516,0.0027060587128608002,0.002916113484922855,0.9279675591680165
CPIAUCSL,1,Gradient Boost - DI,516,0.0027300919912465918,0.002916113484922855,0.9362091034392016
CPIAUCSL,1,Baseline ARD/RW,516,0.002916113484922855,0.002916113484922855,1.0
CPIAUCSL,3,AdaBoost - DI,516,0.006305275871099141,0.0073979416260573985,0.8523013818993088
CPIAUCSL,3,XGBoost - DI,516,0.006346742059030209,0.0073979416260573985,0.857906479915359
CPIAUCSL,3,Random Forest - DI,516,0.006456554243001883,0.0073979416260573985,0.872750093115129
CPIAUCSL,3,Gradient Boost - DI,516,0.006489253902732051,0.0073979416260573985,0.8771701955413216
CPIAUCSL,3,Baseline ARD/RW,516,0.0073979416260573985,0.0073979416260573985,1.0
CPIAUCSL,6,XGBoost - DI,516,0.010389679221594807,0.012998995904468751,0.799267827911468
CPIAUCSL,6,AdaBoost - DI,516,0.010507920446068067,0.012998995904468751,0.8083640092890321
CPIAUCSL,6,Gradient Boost - DI,516,0.01067842842069431,0.012998995904468751,0.8214810204704592
CPIAUCSL,6,Random Forest - DI,516,0.010891855482167834,0.012998995904468751,0.8378997548897964
CPIAUCSL,6,Baseline ARD/RW,516,0.012998995904468751,0.012998995904468751,1.0
CPIAUCSL,12,AdaBoost - DI,515,0.017835228212658656,0.02401055232041903,0.742807911065471
CPIAUCSL,12,XGBoost - DI,515,0.018419985216584184,0.02401055232041903,0.7671620781884089
CPIAUCSL,12,Random Forest - DI,515,0.018901553858052072,0.02401055232041903,0.7872186197890096
CPIAUCSL,12,Gradient Boost - DI,515,0.019025397481553994,0.02401055232041903,0.7923765029500981
CPIAUCSL,12,Baseline ARD/RW,515,0.02401055232041903,0.02401055232041903,1.0
INDPRO,1,Gradient Boost - DI,516,0.009422658309321779,0.010026156197191471,0.9398076515066917
INDPRO,1,XGBoost - DI,516,0.009423045390111132,0.010026156197191471,0.9398462586041416
INDPRO,1,AdaBoost - DI,516,0.009603505328484105,0.010026156197191471,0.9578451741230842
INDPRO,1,Random Forest - DI,516,0.009643822057609478,0.010026156197191471,0.9618663292230484
INDPRO,1,Baseline ARD/RW,516,0.010026156197191471,0.010026156197191471,1.0
